index_gemini,doi_gemini,title_gemini,widgets_in_paper_gemini,scented_widgets_gemini,scented_widgets_gemini_corrected,answer_gemini
38,https://doi.org/10.1109/VISUAL.1990.146366, Vis-10.1109-VISUAL.1990.146366-p67-C-0,FALSE,FALSE,FALSE," no, no"
39,https://doi.org/10.1109/VISUAL.1990.146367, Vis-10.1109-VISUAL.1990.146367-p74-C-0,FALSE,FALSE,FALSE," no, no"
40,https://doi.org/10.1109/VISUAL.1990.146403, Vis-10.1109-VISUAL.1990.146403-p379-C-0,FALSE,FALSE,FALSE," no, no"
41,https://doi.org/10.1109/VISUAL.1990.146374, Vis-10.1109-VISUAL.1990.146374-p131-C-0,FALSE,FALSE,Unknown," No, I don't know."
42,https://doi.org/10.1109/VISUAL.1990.146367, Vis-10.1109-VISUAL.1990.146367-p74-C-0,FALSE,FALSE,Unknown," No, I don't know."
43,https://doi.org/10.1109/VISUAL.1990.146366, Vis-10.1109-VISUAL.1990.146366-p67-C-0,FALSE,FALSE,Unknown," no, I don't know"
44,https://doi.org/10.1109/VISUAL.1990.146412, Vis-10.1109-VISUAL.1990.146412-p422-C-0,FALSE,FALSE,Unknown," No, I don't know."
45,https://doi.org/10.1109/VISUAL.1990.146398, Vis-10.1109-VISUAL.1990.146398-p329-C-0,FALSE,FALSE,FALSE," no, no"
46,https://doi.org/10.1109/VISUAL.1990.146391, Vis-10.1109-VISUAL.1990.146391-p273-C-0,FALSE,FALSE,FALSE," no, no"
47,https://doi.org/10.1109/VISUAL.1990.146380, Vis-10.1109-VISUAL.1990.146380-p176-C-0,FALSE,FALSE,Unknown," No, I don't know."
48,https://doi.org/10.1109/VISUAL.1990.146384, Vis-10.1109-VISUAL.1990.146384-p209-C-0,FALSE,FALSE,FALSE," no, no"
49,https://doi.org/10.1109/VISUAL.1990.146386, Vis-10.1109-VISUAL.1990.146386-p230-C-0,FALSE,FALSE,Unknown," no, I don't know"
50,https://doi.org/10.1109/VISUAL.1990.146419, Vis-10.1109-VISUAL.1990.146419-p449-C-0,FALSE,FALSE,Unknown," no, I don't know"
51,https://doi.org/10.1109/VISUAL.1990.146382, Vis-10.1109-VISUAL.1990.146382-p194-C-0,FALSE,FALSE,FALSE," no, no"
52,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
53,https://doi.org/10.1109/VISUAL.1990.146398, Vis-10.1109-VISUAL.1990.146398-p329-C-0,FALSE,FALSE,Unknown," No, I don't know."
54,https://doi.org/10.1109/VISUAL.1990.146384, Vis-10.1109-VISUAL.1990.146384-p209-C-0,FALSE,FALSE,Unknown," no, I don't know"
55,https://doi.org/10.1109/VISUAL.1990.146381, Vis-10.1109-VISUAL.1990.146381-p187-C-0,FALSE,FALSE,FALSE," no, no"
56,https://doi.org/10.1109/VISUAL.1990.146400, Vis-10.1109-VISUAL.1990.146400-p342-C-0,FALSE,FALSE,Unknown," No, I don't know."
57,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,FALSE," no, no"
58,https://doi.org/10.1109/VISUAL.1990.146379, Vis-10.1109-VISUAL.1990.146379-p168-C-0,FALSE,FALSE,FALSE," no, no"
59,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,FALSE," no, no"
60,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,FALSE,FALSE,FALSE," no, no"
61,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,Unknown," No, I don't know."
62,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,FALSE," no, no"
63,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,Unknown," no, I don't know"
64,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,Unknown," No, I don't know."
65,https://doi.org/10.1109/VISUAL.1990.146364, Vis-10.1109-VISUAL.1990.146364-p51-C-0,FALSE,FALSE,FALSE," no, no"
66,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,FALSE,FALSE,Unknown," no, I don't know"
67,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,Unknown," no, I don't know"
68,https://doi.org/10.1109/VISUAL.1990.146379, Vis-10.1109-VISUAL.1990.146379-p168-C-0,FALSE,FALSE,Unknown," No, I don't know."
69,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,Unknown," No, I don't know."
70,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,FALSE,FALSE,Unknown," No, I don't know."
71,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,FALSE," no, no"
72,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,Unknown," no, I don't know"
73,https://doi.org/10.1109/VISUAL.1990.146360, Vis-10.1109-VISUAL.1990.146360-p14-C-0,FALSE,FALSE,Unknown," No, I don't know."
74,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,FALSE,FALSE,FALSE," no, no"
75,https://doi.org/10.1109/VISUAL.1990.146393, Vis-10.1109-VISUAL.1990.146393-p289-C-0,FALSE,FALSE,FALSE, No.
76,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,Unknown," no, I don't know"
77,https://doi.org/10.1109/VISUAL.1990.146396, Vis-10.1109-VISUAL.1990.146396-p315-C-0,FALSE,FALSE,Unknown," No, I don't know."
78,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,TRUE,TRUE,TRUE," Yes, there are. Yes, they are."
79,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
80,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,FALSE,FALSE,FALSE," no, no"
81,https://doi.org/10.1109/VISUAL.1990.146370, Vis-10.1109-VISUAL.1990.146370-p97-C-0,FALSE,FALSE,FALSE," no, no"
82,https://doi.org/10.1109/VISUAL.1990.146402, Vis-10.1109-VISUAL.1990.146402-p361-C-0,FALSE,FALSE,Unknown," no, I don't know"
83,https://doi.org/10.1109/VISUAL.1990.146362, Vis-10.1109-VISUAL.1990.146362-p36-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
84,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,TRUE,FALSE,Unknown," Yes, there are some sliders and buttons. I don't know if they are scented."
85,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,Unknown," No, I don't know."
86,https://doi.org/10.1109/VISUAL.1990.146372, Vis-10.1109-VISUAL.1990.146372-p114-C-0,FALSE,FALSE,Unknown," No, I don't know."
87,https://doi.org/10.1109/VISUAL.1990.146385, Vis-10.1109-VISUAL.1990.146385-p219-C-0,FALSE,FALSE,FALSE," no, no"
88,https://doi.org/10.1109/VISUAL.1990.146377, Vis-10.1109-VISUAL.1990.146377-p150-C-0,FALSE,FALSE,FALSE," no, no"
89,https://doi.org/10.1109/VISUAL.1990.146380, Vis-10.1109-VISUAL.1990.146380-p176-C-0,FALSE,FALSE,FALSE," no, no"
90,https://doi.org/10.1109/VISUAL.1990.146386, Vis-10.1109-VISUAL.1990.146386-p230-C-0,FALSE,FALSE,FALSE," no, no"
91,https://doi.org/10.1109/VISUAL.1990.146374, Vis-10.1109-VISUAL.1990.146374-p131-C-0,FALSE,FALSE,FALSE," no, no"
92,https://doi.org/10.1109/VISUAL.1990.146377, Vis-10.1109-VISUAL.1990.146377-p150-C-0,FALSE,FALSE,Unknown," No, I don't know."
93,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,Unknown," No, I don't know."
94,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,FALSE," no, no"
95,https://doi.org/10.1109/VISUAL.1990.146366, Vis-10.1109-VISUAL.1990.146366-p67-C-0,FALSE,FALSE,FALSE," no, no"
96,https://doi.org/10.1109/VISUAL.1990.146367, Vis-10.1109-VISUAL.1990.146367-p74-C-0,FALSE,FALSE,FALSE," no, no"
97,https://doi.org/10.1109/VISUAL.1990.146403, Vis-10.1109-VISUAL.1990.146403-p379-C-0,FALSE,FALSE,FALSE," no, no"
98,https://doi.org/10.1109/VISUAL.1990.146374, Vis-10.1109-VISUAL.1990.146374-p131-C-0,FALSE,FALSE,Unknown," No, I don't know."
99,https://doi.org/10.1109/VISUAL.1990.146367, Vis-10.1109-VISUAL.1990.146367-p74-C-0,FALSE,FALSE,Unknown," No, I don't know."
100,https://doi.org/10.1109/VISUAL.1990.146366, Vis-10.1109-VISUAL.1990.146366-p67-C-0,FALSE,FALSE,Unknown," no, I don't know"
101,https://doi.org/10.1109/VISUAL.1990.146412, Vis-10.1109-VISUAL.1990.146412-p422-C-0,FALSE,FALSE,Unknown," No, I don't know."
102,https://doi.org/10.1109/VISUAL.1990.146398, Vis-10.1109-VISUAL.1990.146398-p329-C-0,FALSE,FALSE,FALSE," no, no"
103,https://doi.org/10.1109/VISUAL.1990.146391, Vis-10.1109-VISUAL.1990.146391-p273-C-0,FALSE,FALSE,FALSE," no, no"
104,https://doi.org/10.1109/VISUAL.1990.146380, Vis-10.1109-VISUAL.1990.146380-p176-C-0,FALSE,FALSE,Unknown," No, I don't know."
105,https://doi.org/10.1109/VISUAL.1990.146384, Vis-10.1109-VISUAL.1990.146384-p209-C-0,FALSE,FALSE,FALSE," no, no"
106,https://doi.org/10.1109/VISUAL.1990.146386, Vis-10.1109-VISUAL.1990.146386-p230-C-0,FALSE,FALSE,Unknown," no, I don't know"
107,https://doi.org/10.1109/VISUAL.1990.146419, Vis-10.1109-VISUAL.1990.146419-p449-C-0,FALSE,FALSE,Unknown," no, I don't know"
108,https://doi.org/10.1109/VISUAL.1990.146382, Vis-10.1109-VISUAL.1990.146382-p194-C-0,FALSE,FALSE,FALSE," no, no"
109,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
110,https://doi.org/10.1109/VISUAL.1990.146398, Vis-10.1109-VISUAL.1990.146398-p329-C-0,FALSE,FALSE,Unknown," No, I don't know."
111,https://doi.org/10.1109/VISUAL.1990.146384, Vis-10.1109-VISUAL.1990.146384-p209-C-0,FALSE,FALSE,Unknown," no, I don't know"
112,https://doi.org/10.1109/VISUAL.1990.146381, Vis-10.1109-VISUAL.1990.146381-p187-C-0,FALSE,FALSE,FALSE," no, no"
113,https://doi.org/10.1109/VISUAL.1990.146400, Vis-10.1109-VISUAL.1990.146400-p342-C-0,FALSE,FALSE,Unknown," No, I don't know."
114,https://doi.org/10.1109/VISUAL.1990.146391, Vis-10.1109-VISUAL.1990.146391-p273-C-0,FALSE,FALSE,Unknown," no, I don't know"
115,https://doi.org/10.1109/VISUAL.1990.146403, Vis-10.1109-VISUAL.1990.146403-p379-C-0,FALSE,FALSE,Unknown," No, I don't know."
116,https://doi.org/10.1109/VISUAL.1990.146375, Vis-10.1109-VISUAL.1990.146375-p139-C-0,FALSE,FALSE,Unknown," No, I don't know."
117,https://doi.org/10.1109/VISUAL.1990.146363, Vis-10.1109-VISUAL.1990.146363-p45-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
118,https://doi.org/10.1109/VISUAL.1990.146367, Vis-10.1109-VISUAL.1990.146367-p74-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
119,https://doi.org/10.1109/VISUAL.1990.146381, Vis-10.1109-VISUAL.1990.146381-p187-C-0,FALSE,FALSE,Unknown," No, I don't know."
120,https://doi.org/10.1109/VISUAL.1990.146380, Vis-10.1109-VISUAL.1990.146380-p176-C-0,FALSE,FALSE,Unknown," no, I don't know"
121,https://doi.org/10.1109/VISUAL.1990.146368, Vis-10.1109-VISUAL.1990.146368-p83-C-0,FALSE,FALSE,FALSE," no, no"
122,https://doi.org/10.1109/VISUAL.1990.146419, Vis-10.1109-VISUAL.1990.146419-p449-C-0,FALSE,FALSE,Unknown," No, I don't know."
123,https://doi.org/10.1109/VISUAL.1990.146395, Vis-10.1109-VISUAL.1990.146395-p307-C-0,FALSE,FALSE,FALSE," no, no"
124,https://doi.org/10.1109/VISUAL.1990.146395, Vis-10.1109-VISUAL.1990.146395-p307-C-0,TRUE,Unknown,Unknown," Yes, there are sliders and radio buttons. I don't know."
125,https://doi.org/10.1109/VISUAL.1990.146368, Vis-10.1109-VISUAL.1990.146368-p83-C-0,FALSE,FALSE,Unknown," no, I don't know"
126,https://doi.org/10.1109/VISUAL.1990.146403, Vis-10.1109-VISUAL.1990.146403-p379-C-0,FALSE,FALSE,Unknown," no, I don't know"
127,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
128,https://doi.org/10.1109/VISUAL.1990.146375, Vis-10.1109-VISUAL.1990.146375-p139-C-0,FALSE,FALSE,FALSE," no, no"
129,https://doi.org/10.1109/VISUAL.1990.146387, Vis-10.1109-VISUAL.1990.146387-p238-C-0,FALSE,FALSE,FALSE," no, no"
130,https://doi.org/10.1109/VISUAL.1990.146400, Vis-10.1109-VISUAL.1990.146400-p342-C-0,FALSE,FALSE,FALSE," no, no"
131,https://doi.org/10.1109/VISUAL.1990.146368, Vis-10.1109-VISUAL.1990.146368-p83-C-0,FALSE,FALSE,Unknown," No, I don't know."
132,https://doi.org/10.1109/VISUAL.1990.146419, Vis-10.1109-VISUAL.1990.146419-p449-C-0,FALSE,FALSE,FALSE," no, no"
133,https://doi.org/10.1109/VISUAL.1990.146416, Vis-10.1109-VISUAL.1990.146416-p435-C-0,FALSE,FALSE,Unknown," no, I don't know"
134,https://doi.org/10.1109/VISUAL.1990.146387, Vis-10.1109-VISUAL.1990.146387-p238-C-0,TRUE,FALSE,Unknown," Yes, there are some sliders and buttons. I don't know if they are scented."
135,https://doi.org/10.1109/VISUAL.1990.146381, Vis-10.1109-VISUAL.1990.146381-p187-C-0,TRUE,TRUE,TRUE," Yes, there are. Yes, they are."
136,https://doi.org/10.1109/VISUAL.1990.146365, Vis-10.1109-VISUAL.1990.146365-p59-C-0,FALSE,FALSE,Unknown," no, I don't know"
137,https://doi.org/10.1109/VISUAL.1990.146363, Vis-10.1109-VISUAL.1990.146363-p45-C-0,FALSE,FALSE,Unknown," no, I don't know"
138,https://doi.org/10.1109/VISUAL.1990.146419, Vis-10.1109-VISUAL.1990.146419-p449-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
139,https://doi.org/10.1109/VISUAL.1990.146363, Vis-10.1109-VISUAL.1990.146363-p45-C-0,FALSE,FALSE,FALSE," no, no"
140,https://doi.org/10.1109/VISUAL.1990.146366, Vis-10.1109-VISUAL.1990.146366-p67-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
141,https://doi.org/10.1109/VISUAL.1990.146399, Vis-10.1109-VISUAL.1990.146399-p338-C-0,FALSE,FALSE,FALSE," no, no"
142,https://doi.org/10.1109/VISUAL.1990.146373, Vis-10.1109-VISUAL.1990.146373-p124-C-0,FALSE,FALSE,FALSE," no, no"
143,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,Unknown," no, I don't know"
144,https://doi.org/10.1109/VISUAL.1990.146400, Vis-10.1109-VISUAL.1990.146400-p342-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
145,https://doi.org/10.1109/VISUAL.1990.146363, Vis-10.1109-VISUAL.1990.146363-p45-C-0,FALSE,FALSE,Unknown," No, I don't know."
146,https://doi.org/10.1109/VISUAL.1990.146381, Vis-10.1109-VISUAL.1990.146381-p187-C-0,FALSE,FALSE,Unknown," no, I don't know"
147,https://doi.org/10.1109/VISUAL.1990.146397, Vis-10.1109-VISUAL.1990.146397-p323-C-0,FALSE,FALSE,FALSE," no, no"
148,https://doi.org/10.1109/VISUAL.1990.146394, Vis-10.1109-VISUAL.1990.146394-p298-C-0,FALSE,FALSE,FALSE," no, no"
149,https://doi.org/10.1109/VISUAL.1990.146359, Vis-10.1109-VISUAL.1990.146359-p6-C-2,FALSE,FALSE,FALSE," no, no"
150,https://doi.org/10.1109/VISUAL.1990.146371, Vis-10.1109-VISUAL.1990.146371-p107-C-0,FALSE,FALSE,Unknown," No, I don't know."
151,https://doi.org/10.1109/VISUAL.1990.146415, Vis-10.1109-VISUAL.1990.146415-p430-C-0,FALSE,FALSE,FALSE," no, no"
152,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,FALSE,FALSE,Unknown," No, I don't know."
153,https://doi.org/10.1109/VISUAL.1990.146388, Vis-10.1109-VISUAL.1990.146388-p247-C-0,FALSE,FALSE,FALSE," no, no"
154,https://doi.org/10.1109/VISUAL.1990.146392, Vis-10.1109-VISUAL.1990.146392-p281-C-0,FALSE,FALSE,Unknown," No, I don't know."
155,https://doi.org/10.1109/VISUAL.1990.146371, Vis-10.1109-VISUAL.1990.146371-p107-C-0,FALSE,FALSE,FALSE," no, no"
156,https://doi.org/10.1109/VISUAL.1990.146394, Vis-10.1109-VISUAL.1990.146394-p298-C-0,FALSE,FALSE,Unknown," No, I don't know."
157,https://doi.org/10.1109/VISUAL.1990.146390, Vis-10.1109-VISUAL.1990.146390-p263-C-0,FALSE,FALSE,Unknown," No, I don't know."
158,https://doi.org/10.1109/VISUAL.1990.146360, Vis-10.1109-VISUAL.1990.146360-p14-C-0,FALSE,FALSE,FALSE," no, no"
159,https://doi.org/10.1109/VISUAL.1990.146383, Vis-10.1109-VISUAL.1990.146383-p202-C-0,FALSE,FALSE,Unknown," no, I don't know"
160,https://doi.org/10.1109/VISUAL.1990.146392, Vis-10.1109-VISUAL.1990.146392-p281-C-0,FALSE,FALSE,FALSE," no, no"
161,https://doi.org/10.1109/VISUAL.1990.146371, Vis-10.1109-VISUAL.1990.146371-p107-C-0,FALSE,FALSE,Unknown," no, I don't know"
162,https://doi.org/10.1109/VISUAL.1990.146359, Vis-10.1109-VISUAL.1990.146359-p6-C-2,FALSE,FALSE,Unknown," no, I don't know"
163,https://doi.org/10.1109/VISUAL.1990.146390, Vis-10.1109-VISUAL.1990.146390-p263-C-0,FALSE,FALSE,FALSE," no, no"
164,https://doi.org/10.1109/VISUAL.1990.146415, Vis-10.1109-VISUAL.1990.146415-p430-C-0,FALSE,FALSE,Unknown," No, I don't know."
165,https://doi.org/10.1109/VISUAL.1990.146359, Vis-10.1109-VISUAL.1990.146359-p6-C-2,FALSE,FALSE,Unknown," No, I don't know."
166,https://doi.org/10.1109/VISUAL.1990.146390, Vis-10.1109-VISUAL.1990.146390-p263-C-0,TRUE,Unknown,Unknown," Yes, the image shows a viewport and a sampling grid. I don't know if they are scented."
167,https://doi.org/10.1109/VISUAL.1990.146395, Vis-10.1109-VISUAL.1990.146395-p307-C-0,FALSE,FALSE,Unknown," No, I don't know."
168,https://doi.org/10.1109/VISUAL.1990.146397, Vis-10.1109-VISUAL.1990.146397-p323-C-0,TRUE,FALSE,Unknown," Yes, there are some. I don't know."
169,https://doi.org/10.1109/VISUAL.1990.146397, Vis-10.1109-VISUAL.1990.146397-p323-C-0,TRUE,Unknown,Unknown," Yes, there are sliders and a colormap editor. I don't know if they are scented."
170,https://doi.org/10.1109/VISUAL.1990.146397, Vis-10.1109-VISUAL.1990.146397-p323-C-0,TRUE,TRUE,TRUE," Yes, there are some scented widgets."
171,https://doi.org/10.1109/VISUAL.1990.146399, Vis-10.1109-VISUAL.1990.146399-p338-C-0,FALSE,FALSE,Unknown," No, I don't know."
172,https://doi.org/10.1109/VISUAL.1990.146401, Vis-10.1109-VISUAL.1990.146401-p353-C-0,FALSE,FALSE,Unknown," No, I don't know."
173,https://doi.org/10.1109/VISUAL.1990.146401, Vis-10.1109-VISUAL.1990.146401-p353-C-0,FALSE,FALSE,FALSE," no, no"
174,https://doi.org/10.1109/VISUAL.1990.146412, Vis-10.1109-VISUAL.1990.146412-p422-C-0,TRUE,FALSE,Unknown," Yes, there are some. I don't know."
175,https://doi.org/10.1109/VISUAL.1990.146413, Vis-10.1109-VISUAL.1990.146413-p424-C-0,FALSE,FALSE,FALSE," no, no"
176,https://doi.org/10.1109/VISUAL.1990.146413, Vis-10.1109-VISUAL.1990.146413-p424-C-0,FALSE,FALSE,FALSE, No.
177,https://doi.org/10.1109/VISUAL.1990.146413, Vis-10.1109-VISUAL.1990.146413-p424-C-0,FALSE,FALSE,Unknown," No, I don't know."
178,https://doi.org/10.1109/VISUAL.1990.146416, Vis-10.1109-VISUAL.1990.146416-p435-C-0,FALSE,FALSE,Unknown," No, I don't know."
179,https://doi.org/10.1109/VISUAL.1990.146418, Vis-10.1109-VISUAL.1990.146418-p443-C-0,FALSE,FALSE,FALSE, No.
